País de residencia;Tipo de dato;Periodo;Total
Países Bajos;Dato base;2022M07;559.885
Países Bajos;Dato base;2022M06;385.829
Países Bajos;Dato base;2022M05;421.683
Países Bajos;Dato base;2022M04;318.612
Países Bajos;Dato base;2022M03;222.929
Países Bajos;Dato base;2022M02;180.896
Países Bajos;Dato base;2022M01;185.268
Países Bajos;Dato base;2021M12;147.840
Países Bajos;Dato base;2021M11;172.807
Países Bajos;Dato base;2021M10;366.856
Países Bajos;Dato base;2021M09;361.606
Países Bajos;Dato base;2021M08;414.900
Países Bajos;Dato base;2021M07;292.840
Países Bajos;Dato base;2021M06;147.337
Países Bajos;Dato base;2021M05;72.196
Países Bajos;Dato base;2021M04;26.989
Países Bajos;Dato base;2021M03;18.160
Países Bajos;Dato base;2021M02;11.409
Países Bajos;Dato base;2021M01;15.914
Países Bajos;Dato base;2020M12;21.366
Países Bajos;Dato base;2020M11;18.346
Países Bajos;Dato base;2020M10;35.237
Países Bajos;Dato base;2020M09;33.789
Países Bajos;Dato base;2020M08;151.213
Países Bajos;Dato base;2020M07;191.104
Países Bajos;Dato base;2020M06;13.128
Países Bajos;Dato base;2020M05;0
Países Bajos;Dato base;2020M04;0
Países Bajos;Dato base;2020M03;95.360
Países Bajos;Dato base;2020M02;195.975
Países Bajos;Dato base;2020M01;162.843
Países Bajos;Dato base;2019M12;163.930
Países Bajos;Dato base;2019M11;182.139
Países Bajos;Dato base;2019M10;337.848
Países Bajos;Dato base;2019M09;375.562
Países Bajos;Dato base;2019M08;454.867
Países Bajos;Dato base;2019M07;508.260
Países Bajos;Dato base;2019M06;395.792
Países Bajos;Dato base;2019M05;426.675
Países Bajos;Dato base;2019M04;296.074
Países Bajos;Dato base;2019M03;221.834
Países Bajos;Dato base;2019M02;168.722
Países Bajos;Dato base;2019M01;152.557
Países Bajos;Dato base;2018M12;153.905
Países Bajos;Dato base;2018M11;166.221
Países Bajos;Dato base;2018M10;376.098
Países Bajos;Dato base;2018M09;382.511
Países Bajos;Dato base;2018M08;502.545
Países Bajos;Dato base;2018M07;537.542
Países Bajos;Dato base;2018M06;404.676
Países Bajos;Dato base;2018M05;446.583
Países Bajos;Dato base;2018M04;324.884
Países Bajos;Dato base;2018M03;227.053
Países Bajos;Dato base;2018M02;172.552
Países Bajos;Dato base;2018M01;160.700
Países Nórdicos;Dato base;2022M12;308.131
Países Nórdicos;Dato base;2022M11;363.681
Países Nórdicos;Dato base;2022M10;482.246
Países Nórdicos;Dato base;2022M09;381.768
Países Nórdicos;Dato base;2022M08;308.597
Países Nórdicos;Dato base;2022M07;577.936
Países Nórdicos;Dato base;2022M06;382.829
Países Nórdicos;Dato base;2022M05;345.792
Países Nórdicos;Dato base;2022M04;388.057
Países Nórdicos;Dato base;2022M03;295.894
Países Nórdicos;Dato base;2022M02;248.322
Países Nórdicos;Dato base;2022M01;207.972
Países Nórdicos;Dato base;2021M12;241.406
Países Nórdicos;Dato base;2021M11;285.256
Países Nórdicos;Dato base;2021M10;371.608
Países Nórdicos;Dato base;2021M09;235.910
Países Nórdicos;Dato base;2021M08;174.888
Países Nórdicos;Dato base;2021M07;297.318
Países Nórdicos;Dato base;2021M06;111.756
Países Nórdicos;Dato base;2021M05;42.166
Países Nórdicos;Dato base;2021M04;26.846
Países Nórdicos;Dato base;2021M03;21.267
Países Nórdicos;Dato base;2021M02;11.824
Países Nórdicos;Dato base;2021M01;19.409
Países Nórdicos;Dato base;2020M12;20.348
Países Nórdicos;Dato base;2020M11;18.036
Países Nórdicos;Dato base;2020M10;51.090
Países Nórdicos;Dato base;2020M09;35.833
Países Nórdicos;Dato base;2020M08;47.819
Países Nórdicos;Dato base;2020M07;94.344
Países Nórdicos;Dato base;2020M06;4.736
Países Nórdicos;Dato base;2020M05;0
Países Nórdicos;Dato base;2020M04;0
Países Nórdicos;Dato base;2020M03;166.244
Países Nórdicos;Dato base;2020M02;396.370
Países Nórdicos;Dato base;2020M01;340.509
Países Nórdicos;Dato base;2019M12;364.141
Países Nórdicos;Dato base;2019M11;424.650
Países Nórdicos;Dato base;2019M10;562.666
Países Nórdicos;Dato base;2019M09;480.401
Países Nórdicos;Dato base;2019M08;391.171
Países Nórdicos;Dato base;2019M07;662.151
Países Nórdicos;Dato base;2019M06;497.735
Países Nórdicos;Dato base;2019M05;431.764
Países Nórdicos;Dato base;2019M04;450.295
Países Nórdicos;Dato base;2019M03;493.878
Países Nórdicos;Dato base;2019M02;392.980
Países Nórdicos;Dato base;2019M01;378.280
Países Nórdicos;Dato base;2018M12;374.348
Países Nórdicos;Dato base;2018M11;409.266
Países Nórdicos;Dato base;2018M10;556.384
Países Nórdicos;Dato base;2018M09;467.916
Países Nórdicos;Dato base;2018M08;398.674
Países Nórdicos;Dato base;2018M07;765.737
Países Nórdicos;Dato base;2018M06;541.184
Países Nórdicos;Dato base;2018M05;475.760
Países Nórdicos;Dato base;2018M04;463.226
Países Nórdicos;Dato base;2018M03;504.352
Países Nórdicos;Dato base;2018M02;420.378
Países Nórdicos;Dato base;2018M01;426.310
Portugal;Dato base;2022M12;196.106
Portugal;Dato base;2022M11;125.165
Portugal;Dato base;2022M10;162.431
Portugal;Dato base;2022M09;259.647
Portugal;Dato base;2022M08;436.687
Portugal;Dato base;2022M07;302.240
Portugal;Dato base;2022M06;234.782
Portugal;Dato base;2022M05;149.129
Portugal;Dato base;2022M04;206.044
Portugal;Dato base;2022M03;120.769
Portugal;Dato base;2022M02;130.212
Portugal;Dato base;2022M01;92.724
Portugal;Dato base;2021M12;95.354
Portugal;Dato base;2021M11;114.682
Portugal;Dato base;2021M10;146.084
Portugal;Dato base;2021M09;173.206
Portugal;Dato base;2021M08;254.475
Portugal;Dato base;2021M07;149.583
Portugal;Dato base;2021M06;105.021
Portugal;Dato base;2021M05;59.443
Portugal;Dato base;2021M04;24.369
Portugal;Dato base;2021M03;22.783
Portugal;Dato base;2021M02;19.887
Portugal;Dato base;2021M01;28.762
Portugal;Dato base;2020M12;32.978
Portugal;Dato base;2020M11;26.201
Portugal;Dato base;2020M10;43.784
Portugal;Dato base;2020M09;70.442
Portugal;Dato base;2020M08;111.022
Portugal;Dato base;2020M07;90.284
Portugal;Dato base;2020M06;.
Portugal;Dato base;2020M05;0
Portugal;Dato base;2020M04;0
Portugal;Dato base;2020M03;68.710
